"umlsid"	"parent_id"
"C0020619"	"meddra:10058359"
"C0020619"	"meddra:10014691"
"C0020619"	"meddra:10013357"
"C0020619"	"meddra:10013356"
"C0020619"	"meddra:10014701"
"C0020619"	"meddra:10014698"
"C0020619"	"meddra:10038604"
"C0027627"	"meddra:10027476"
"C0027627"	"meddra:10029104"
"C0027627"	"meddra:10062194"
"C0027627"	"meddra:10027471"
"C0027627"	"meddra:10027449"
"C0278488"	"meddra:10006202"
"C0278488"	"meddra:10006290"
"C0278488"	"meddra:10006289"
"C0278488"	"meddra:10006232"
"C0278488"	"meddra:10006291"
"C0278488"	"meddra:10029104"
"C0278488"	"meddra:10038604"
"C0278488"	"meddra:10055113"
"C0278488"	"meddra:10006211"
"C0278488"	"meddra:10006197"
"C0278488"	"meddra:10006216"
"C0278488"	"meddra:10007310"
"C0278488"	"meddra:10027475"
"C0001126"	"meddra:10038535"
"C0001126"	"meddra:10029150"
"C0001126"	"meddra:10027416"
"C0001126"	"meddra:10000485"
"C0001126"	"meddra:10029149"
"C0001126"	"meddra:10038359"
"C0001126"	"meddra:10027433"
"C0001126"	"meddra:10000494"
"C0001126"	"meddra:10038353"
"C0001126"	"meddra:10039248"
"C0001430"	"meddra:10001233"
"C0001430"	"meddra:10029106"
"C0001430"	"meddra:10027656"
"C0001430"	"meddra:10029104"
"C0001430"	"meddra:10001231"
"C0001430"	"meddra:10001236"
"C0001430"	"meddra:10001234"
"C0013537"	"meddra:10014129"
"C0013537"	"meddra:10039912"
"C0013537"	"meddra:10038466"
"C0013537"	"meddra:10036557"
"C0013537"	"meddra:10020776"
"C0013537"	"meddra:10026908"
"C0013537"	"meddra:10057166"
"C0013537"	"meddra:10038430"
"C0013537"	"meddra:10039911"
"C0013537"	"meddra:10029205"
"C0013537"	"meddra:10038359"
"C0013537"	"meddra:10047065"
"C0013537"	"meddra:10036585"
"C0033581"	"meddra:10036978"
"C0033581"	"meddra:10021855"
"C0033581"	"meddra:10025518"
"C0033581"	"meddra:10038604"
"C0033581"	"meddra:10021988"
"C0033581"	"meddra:10036982"
"C0017668"	"ndfrt:N0000001353"
"C0017668"	"ndfrt:N0000001351"
"C0017668"	"ndfrt:N0000002147"
"C0017668"	"ndfrt:N0000001748"
"C0017668"	"ndfrt:N0000003086"
"C0017668"	"ndfrt:N0000181236"
"C0017668"	"ndfrt:N0000001224"
"C0017668"	"ndfrt:N0000000004"
"C0020619"	"ndfrt:N0000001636"
"C0020619"	"ndfrt:N0000001376"
"C0020619"	"ndfrt:N0000001099"
"C0020619"	"ndfrt:N0000000004"
"C0027627"	"ndfrt:N0000002124"
"C0027627"	"ndfrt:N0000002144"
"C0027627"	"ndfrt:N0000002128"
"C0027627"	"ndfrt:N0000000004"
"C0001126"	"ndfrt:N0000000285"
"C0001126"	"ndfrt:N0000000283"
"C0001126"	"ndfrt:N0000000282"
"C0001126"	"ndfrt:N0000002004"
"C0001126"	"ndfrt:N0000002197"
"C0001126"	"ndfrt:N0000000004"
"C0001430"	"ndfrt:N0000000310"
"C0001430"	"ndfrt:N0000002134"
"C0001430"	"ndfrt:N0000002129"
"C0001430"	"ndfrt:N0000002128"
"C0001430"	"ndfrt:N0000000004"
"C0013537"	"ndfrt:N0000001047"
"C0013537"	"ndfrt:N0000011037"
"C0013537"	"ndfrt:N0000001616"
"C0013537"	"ndfrt:N0000003111"
"C0013537"	"ndfrt:N0000000689"
"C0013537"	"ndfrt:N0000000004"
"C0033581"	"ndfrt:N0000002501"
"C0033581"	"ndfrt:N0000002498"
"C0033581"	"ndfrt:N0000001324"
"C0033581"	"ndfrt:N0000003085"
"C0033581"	"ndfrt:N0000000004"
"C0040147"	"meddra:10043778"
"C0040147"	"meddra:10043779"
"C0040147"	"meddra:10043739"
"C0040147"	"meddra:10014698"
"C0040147"	"meddra:10043783"
"C0040147"	"meddra:10043785"
