dbid,atc_label
DB00999,C03AA03
DB01002,N01BB10
DB01016,A10BB01
DB01418,B01AA07
DB04898,B01AE05
DB01109,B01AB51
DB01109,C05BA03
DB01109,S01XA14
DB01109,C05BA53
DB01109,B01AB01
DB06692,B02AB01
DB01023,C09BB05
DB01023,C07FB02
DB01023,C08CA02
DB01029,C09DB05
DB01029,C09CA04
DB01029,C09DA04
DB01035,C01BA02
DB01048,J05AR04
DB01048,J05AR02
DB01048,J05AR13
DB01048,J05AF06
DB01054,C09BB06
DB01054,C08CA08
DB01056,C01BB03
DB01064,C01CA02
DB01064,R03AK02
DB01064,R03AB02
DB01064,R03CB01
DB01064,R03CB51
DB01069,V03AB05
DB01069,R06AD52
DB01069,D04AA10
DB01069,R06AD02
DB01071,R06AD07
DB01075,D04AA32
DB01075,R06AA02
DB01075,D04AA33
DB01075,R06AA52
DB01081,A07DA01
DB01084,S01GX06
DB01102,C01CA22
DB01106,R01AC02
DB01106,S01GX02
DB01114,R06AB54
DB01114,R06AB04
DB01115,C07FB03
DB01115,C08CA55
DB01115,C08GA01
DB01115,C08CA05
DB01118,C01BD01
DB01120,A10BB09
DB01129,A02BC54
DB01129,M01AA05
DB01129,A02BC04
DB01129,M02AA03
DB01136,C07AG02
DB01136,C07FX06
DB01142,N06AA12
DB01142,D04AX01
DB01146,R06AA57
DB01146,R06AA07
DB01161,N01BA04
DB01166,B01AC23
DB01173,M03BC51
DB01173,N04AB02
DB01173,M03BC01
DB01175,N06AB10
DB01176,R06AE03
DB01176,R06AE53
DB01180,C02LA52
DB01180,C02LA02
DB01180,C02AA01
DB01181,L01AA06
DB01183,N02AA53
DB01183,N02AA55
DB01183,A06AH04
DB01183,V03AB15
DB01193,C07AB04
DB01193,C07BB04
DB01195,C01BC04
DB01197,C09AA01
DB01197,C09BA01
DB01203,C07BA12
DB01203,C07AA12
DB01209,N02AX03
DB01210,S01ED03
DB01214,S01ED54
DB01214,C07BA68
DB01214,S01ED04
DB01224,N05AH04
DB01227,N07BC03
DB01229,L01CD01
DB01237,R06AA01
DB01242,N06AA04
DB01246,R06AD01
DB01248,L01CD02
DB01254,L01XE06
DB01269,L01XC08
DB01295,C07AB06
DB01295,C07BB06
DB01297,C07AB01
DB01340,C09BA08
DB01340,C09AA08
DB01348,C09AA11
DB01359,C07CA23
DB01359,C07AA23
DB01466,S01XA06
DB01466,R05DA01
DB01580,C07BA02
DB01580,C07AA02
DB01580,C07CA02
DB01600,M01AE11
DB01619,R06AX04
DB01620,R06AB05
DB01620,D04AA16
DB06725,M01AC05
DB12770,A02BA08
DB08806,A02BA06
DB06697,P01BF01
DB06697,P01BE02
DB04819,R06AC05
DB04826,R06AX03
DB04826,R06AX53
DB04826,D04AA03
DB04841,N07CA03
DB04861,C09DX05
DB04861,C07FB12
DB04861,C07BB12
DB04861,C07AB12
DB04868,L01XE08
DB06274,A06AH02
DB06282,R06AE09
DB06616,L01XE14
DB06691,D04AA02
DB06691,R06AC01
DB06698,N07CA01
DB06766,S01GX11
DB08799,R06AX05
DB08799,R01AC04
DB08800,D04AA09
DB08800,R06AC53
DB08800,R06AC03
DB08801,R06AB03
DB08801,D04AA13
DB08802,R06AD09
DB08802,D04AA22
DB08807,C07AA17
DB08807,C07CA17
DB08808,C07AA19
DB08836,C09AA14
DB08901,L01XE24
DB08936,R06AE04
DB09007,D04AA34
DB09007,R06AA06
DB09007,R06AA56
DB09488,R06AX18
DB11235,D04AA01
DB11235,R06AC06
DB11235,R01AC06
DB11591,R06AX29
DB11614,R06AX28
DB11742,R06AX22
DB12523,R06AX25
DB12877,R06AE06
DB13292,R06AX23
DB13305,D04AA12
DB13349,R06AB07
DB13420,R06AD06
DB13479,R06AC52
DB13479,R06AC02
DB13679,R06AB52
DB13679,R06AB02
DB13711,R06AX21
DB00047,A10AE54
DB00047,A10AE04
DB00091,L04AD01
DB00091,S01XA18
DB00115,B03BA01
DB00115,B03AE01
DB00115,B03BA51
DB03614,B03BA05
DB00136,D05AX03
DB00136,A11CC04
DB00153,A11CC01
DB00146,A11CC06
DB00176,N06AB08
DB00181,M03BX01
DB00182,N06BA01
DB00185,N07AX03
DB00186,N05BA56
DB00186,N05BA06
DB00188,L01XX32
DB00191,A08AA01
DB00196,J01RA07
DB00196,J02AC01
DB00196,D01AC15
DB00198,J05AH02
DB00203,G01AE10
DB00203,G04BE03
DB00211,C01CA17
DB00216,N02CC06
DB00220,J05AE04
DB00222,A10BD04
DB00222,A10BB12
DB00222,A10BD06
DB00224,J05AE02
DB00228,N01AB04
DB00230,N03AX16
DB00231,N05CD07
DB00241,N05CB01
DB00242,L04AA40
DB00242,L01BB04
DB00243,C01EB18
DB00244,A07EC02
DB00245,N04AC01
DB00248,N04BC06
DB00248,G02CB03
DB00250,D10AX05
DB00250,J04BA02
DB00261,L01XX35
DB00268,N04BC04
DB00273,N03AX11
DB00286,G03CA57
DB00286,G03CC07
DB00287,S01EE04
DB00289,N06BA09
DB00294,G03AC08
DB00304,G03AC09
DB00304,G03FB10
DB00304,G03AB05
DB00304,G03AA09
DB00315,N02CC03
DB00321,N06AA09
DB00321,N06CA01
DB00540,N06AA10
DB00322,L01BC09
DB00325,C02DD01
DB00332,R03BB01
DB00332,R01AX03
DB00332,R03AL01
DB00332,R03AL02
DB00334,N05AH03
DB00339,J04AM06
DB00339,J04AK01
DB00339,J04AM05
DB00347,N03AC02
DB00349,N05BA09
DB00356,M03BB03
DB00356,M03BB53
DB00356,M03BB73
DB00358,P01BF02
DB00358,P01BC02
DB00363,N05AH02
DB00378,G03FA14
DB00378,G03DB01
DB00378,G03FB08
DB00382,N06DA01
DB00385,L01DB09
DB00390,C01AA05
DB00394,D07CC04
DB00394,R03BA01
DB00394,R03AL09
DB00394,D07AC15
DB00394,R03AK08
DB00394,R03AK13
DB00394,R01AD01
DB00394,A07EA07
DB00395,M03BA02
DB00395,M03BA72
DB00395,M03BA52
DB00400,D01BA01
DB00400,D01AA08
DB00402,N05CF04
DB00404,N05BA12
DB00410,R01AX06
DB00410,D06AX09
DB00414,A10BB31
DB00417,J01CR50
DB00417,J01CE10
DB00417,J01CE02
DB00420,N05AA03
DB00422,N06BA04
DB00423,M03BA73
DB00423,M03BA03
DB00423,M03BA53
DB00425,N05CF02
DB00426,J05AB09
DB00426,S01AD07
DB00432,L01BC59
DB00432,S01AD02
DB00433,N05AB04
DB00437,M04AA01
DB00437,M04AA51
DB00457,C02LE01
DB00457,C02CA01
DB00468,M09AA72
DB00468,P01BC01
DB00470,A04AD10
DB00471,R03DC03
DB00471,R03DC53
DB00476,N06AX21
DB00477,N05AA01
DB00481,G03XC01
DB00484,D11AX21
DB00484,S01EA05
DB00487,J01MA03
DB00490,N05BE01
DB00493,J01DD01
DB00499,L02BB01
DB00502,N05AD01
DB00503,J05AP53
DB00503,J05AR10
DB00503,J05AE03
DB00503,J05AR23
DB00503,J05AP52
DB00507,P01AX11
DB00509,C10AX01
DB00514,R05DA09
DB00514,N07XX59
DB00518,P02CA03
DB00532,N03AB04
DB00532,N03AB54
DB00537,J01RA11
DB00537,S03AA07
DB00537,J01MA02
DB00537,S02AA15
DB00537,J01RA10
DB00537,J01RA12
DB00537,S01AE03
DB00539,L02BA02
DB00543,N06AA17
DB00546,N05BA07
DB00549,R03DC01
DB00555,N03AX09
DB00559,C02KX01
DB00565,M03AC11
DB00574,A08AA02
DB00575,S01EA04
DB00575,C02LC01
DB00575,C02AC01
DB00575,N02CX02
DB00575,C02LC51
DB00577,J05AB11
DB00581,A06AD61
DB00581,A06AD11
DB00582,J02AC03
DB00592,P02CB01
DB00601,J01XX08
DB00603,G03DA02
DB00603,L02AB02
